Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018 Provisional
Australia,"Coal, peat and oil shale",Production (ktoe),32680,39372,40251,39179,44767,44161,48910,47947,51970,51898,62618,63335,72458,78958,83939,90500,102763,90074,100214,106103,114763,119139,119983,118687,127823,129956,140676,152427,154539,164578,178433,183863,183860,189189,201579,203808,214979,215910,223333,246564,233641,245351,264517,285440,298581,292031,293103,286358
Australia,"Coal, peat and oil shale",Imports (ktoe),0,0,0,0,0,0,0,7,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,14,33,28,5,4,43,161,87,62,126,167,163,189,304
Australia,"Coal, peat and oil shale",Exports (ktoe),-12932,-14682,-17649,-17803,-20295,-18794,-21857,-23921,-26362,-27808,-33103,-30292,-40068,-49727,-57493,-59660,-65456,-64996,-64466,-67267,-78214,-82012,-85625,-85120,-88594,-91324,-101540,-108067,-111701,-121426,-125009,-132536,-135540,-142302,-150990,-150780,-158859,-163964,-169048,-190391,-184398,-195161,-217375,-242832,-253999,-251899,-244692,-246896
Australia,"Coal, peat and oil shale",Total primary energy supply (ktoe),21121,22051,22584,22173,23840,23798,25833,23839,24706,27318,27588,28564,27936,29290,30114,29549,31810,32178,34979,34888,36278,36832,37559,37113,37498,40687,44328,47121,48093,48147,48212,48601,48145,49900,51035,51699,51896,51502,52671,50470,48099,47025,43738,41478,42921,43951,43908,42267
Australia,"Coal, peat and oil shale","Electricity, CHP and heat plants (ktoe)",-12337,-13612,-13803,-14759,-15870,-16342,-18402,-16894,-17544,-20168,-20800,-21813,-20922,-21445,-23583,-23370,-25282,-26553,-28657,-28923,-29947,-30720,-30918,-31309,-32383,-34291,-35508,-40025,-40636,-41188,-42836,-44175,-42350,-44307,-45459,-46400,-46830,-46187,-48283,-44832,-42734,-42274,-39419,-37285,-38758,-39860,-39185,..
Australia,"Coal, peat and oil shale","Oil refineries, transformation (ktoe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,"Coal, peat and oil shale",Total final consumption (ktoe),5264,5037,5197,4981,5158,4940,4828,4216,4399,4508,4255,4339,3912,4083,4665,4343,4406,4396,4446,4558,4643,4651,4748,4722,4669,4454,4704,4509,4398,4200,3951,3008,3460,3616,3896,3560,3554,3660,3466,2539,2496,2422,2353,2447,2343,2397,2521,..
Australia,"Coal, peat and oil shale",Industry (ktoe),4883,4674,4895,4358,4563,4393,4325,3762,3960,4092,3859,3963,3536,3666,4273,3983,4060,4078,4139,4281,4386,4409,4511,4499,4450,4261,4515,4340,4241,4044,3748,2854,3264,3437,3618,3334,3325,3426,3246,2426,2414,2356,2348,2441,2335,2388,2508,..
Australia,"Coal, peat and oil shale",Transport (ktoe),82,35,21,7,8,7,6,4,4,4,4,3,14,77,70,68,80,74,82,72,77,83,86,83,86,85,92,90,88,88,110,58,80,91,181,157,168,181,176,94,67,57,0,0,1,0,0,..
Australia,"Coal, peat and oil shale",Residential (ktoe),237,235,187,354,331,291,253,227,212,195,184,173,164,145,133,113,97,80,66,57,45,42,43,38,38,27,22,21,20,18,20,23,23,20,21,10,9,9,7,4,2,2,1,0,1,1,1,..
Australia,"Coal, peat and oil shale",Commercial and public services (ktoe),62,93,94,261,256,249,244,223,224,217,208,201,198,196,189,178,170,163,159,147,135,117,108,102,95,82,74,58,49,49,73,73,94,67,76,59,52,45,37,16,12,7,4,7,7,8,13,..
Australia,"Coal, peat and oil shale",Other final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,"Crude, NGL and feedstocks",Production (ktoe),14826,15851,19846,19635,21041,21595,22834,22680,22728,21304,20785,20477,19917,23959,27721,28825,28614,28545,25824,29026,29051,28687,28407,26739,28365,27876,28221,31140,25058,33910,35016,32969,32178,28534,25673,23214,25912,23854,24510,25537,24481,22955,20072,19202,18088,17566,15317,14701
Australia,"Crude, NGL and feedstocks",Imports (ktoe),10527,9069,8938,9207,8559,8673,9240,10561,10512,10409,10189,11100,10238,7510,6372,5064,6424,8204,10439,10210,10954,13498,17113,17445,17597,20321,20601,20836,24508,22314,23185,24055,23208,19307,21377,20026,20766,21480,19880,22096,25965,24095,24486,23140,20224,16294,16656,19065
Australia,"Crude, NGL and feedstocks",Exports (ktoe),-577,-341,-19,0,0,0,0,0,0,0,-74,0,-47,-875,-4736,-4246,-4804,-5420,-4109,-5856,-7652,-8507,-9411,-8835,-10372,-10066,-11926,-14211,-13612,-19365,-23534,-21397,-17597,-14704,-13190,-10931,-13403,-13428,-13914,-15150,-16485,-14636,-13229,-12447,-12727,-11668,-10751,-10702
Australia,"Crude, NGL and feedstocks",Total primary energy supply (ktoe),25111,24579,28765,28841,29600,30268,32073,33164,33205,31656,30479,31655,30073,30353,28999,29744,30086,31384,32326,33074,32513,33704,36028,35420,35286,37935,37111,37266,36355,36577,33731,36008,37754,33921,33973,32185,32988,32085,30501,31910,34370,32676,31500,29975,25848,22422,21249,23002
